zip code,size rank,price,bedroom,Nielson household rank,hotness rank,supply score,demand score,median days on market
66062,57,243300,2,74,574,90.9416,95.15714,29
66062,59,347300,5,74,574,90.9416,95.15714,29
66062,68,277600,4,74,574,90.9416,95.15714,29
66062,69,215500,3,74,574,90.9416,95.15714,29
66061,256,125200,2,398,5683,50.86883,73.84731,58
66061,256,433100,5,398,5683,50.86883,73.84731,58
66061,299,297700,4,398,5683,50.86883,73.84731,58
66061,300,190600,3,398,5683,50.86883,73.84731,58
64118,672,119900,2,1086,613,88.27552,97.10809,31
64118,761,202200,4,1086,613,88.27552,97.10809,31
64118,773,149800,3,1086,613,88.27552,97.10809,31
64119,912,165200,1,3267,2116,72.11593,91.58146,43
64114,923,118500,1,3367,523,94.93758,92.06449,24
64055,1068,197900,5,1752,1023,88.01204,90.17,31
64055,1111,107400,2,1752,1023,88.01204,90.17,31
64133,1207,164300,5,2272,1299,88.27552,85.91055,31
64055,1234,192600,4,1752,1023,88.01204,90.17,31
64133,1252,83800,2,2272,1299,88.27552,85.91055,31
64055,1259,127300,3,1752,1023,88.01204,90.17,31
64155,1308,266100,1,4853,5836,45.61194,77.70529,62
64052,1353,54800,1,5061,2925,82.43523,72.0532,36
64050,1365,55400,1,4896,6735,46.64701,67.24798,61
66212,1380,279700,5,1983,208,95.1446,98.67637,24
64133,1402,156200,4,2272,1299,88.27552,85.91055,31
64133,1431,122500,3,2272,1299,88.27552,85.91055,31
66212,1444,145400,2,1983,208,95.1446,98.67637,24
66048,1464,235000,5,2535,5604,66.60184,58.92353,46
66048,1533,65500,2,2535,5604,66.60184,58.92353,46
66212,1619,244100,4,1983,208,95.1446,98.67637,24
64157,1647,353800,1,7174,8089,36.53472,63.39,72
66212,1650,203700,3,1983,208,95.1446,98.67637,24
64068,1670,293500,5,2128,1062,80.79794,96.81325,37
64024,1710,81700,1,7031,2664,75.25877,82.00866,40
66048,1715,191300,4,2535,5604,66.60184,58.92353,46
66048,1747,129100,3,2535,5604,66.60184,58.92353,46
64068,1757,140100,2,2128,1062,80.79794,96.81325,37
64119,1956,241800,5,3267,2116,72.11593,91.58146,43
64114,1975,309900,5,3367,523,94.93758,92.06449,24
64068,1981,264500,4,2128,1062,80.79794,96.81325,37
64015,2015,248000,5,3115,1312,80.79794,93.17483,37
64068,2020,173600,3,2128,1062,80.79794,96.81325,37
66213,2028,417400,5,3339,1182,82.22822,93.51358,36
64119,2087,110300,2,3267,2116,72.11593,91.58146,43
64114,2105,139100,2,3367,523,94.93758,92.06449,24
64015,2159,129600,2,3115,1312,80.79794,93.17483,37
64151,2208,298800,5,3542,1984,70.37827,94.73684,44
64012,2328,217700,5,4129,2929,68.30186,86.14892,45
64119,2340,246100,4,3267,2116,72.11593,91.58146,43
64114,2367,248300,4,3367,523,94.93758,92.06449,24
64119,2393,136500,3,3267,2116,72.11593,91.58146,43
64151,2396,151100,2,3542,1984,70.37827,94.73684,44
64114,2420,204300,3,3367,523,94.93758,92.06449,24
64111,2423,340100,5,4732,2088,88.27552,75.71671,31
64015,2425,242400,4,3115,1312,80.79794,93.17483,37
66213,2442,349400,4,3339,1182,82.22822,93.51358,36
64015,2481,172800,3,3115,1312,80.79794,93.17483,37
64030,2483,167200,5,4452,1399,88.27552,84.55555,31
66215,2494,302600,5,3809,134,96.88225,98.68264,22
66213,2499,340000,3,3339,1182,82.22822,93.51358,36
64138,2504,171200,5,4279,2341,85.71608,75.27759,33
64012,2536,98700,2,4129,2929,68.30186,86.14892,45
64152,2537,467500,5,4257,4850,53.18989,80.39646,56
66102,2648,107400,5,4385,5256,60.17816,68.99818,51
64111,2650,180500,2,4732,2088,88.27552,75.71671,31
64131,2678,214500,5,4582,3281,75.25877,75.28386,40
64151,2679,278600,4,3542,1984,70.37827,94.73684,44
64030,2721,71300,2,4452,1399,88.27552,84.55555,31
66215,2738,134400,2,3809,134,96.88225,98.68264,22
64151,2740,186200,3,3542,1984,70.37827,94.73684,44
64138,2749,84900,2,4279,2341,85.71608,75.27759,33
64152,2786,121500,2,4257,4850,53.18989,80.39646,56
64014,2839,244700,5,4908,2130,78.79681,84.68728,38
64012,2841,186000,4,4129,2929,68.30186,86.14892,45
66223,2874,513600,5,4929,8958,24.11392,66.03726,90
66208,2876,947400,5,4766,1350,78.79681,94.64275,38
64081,2908,343000,5,4862,1414,78.79681,93.82724,38
64012,2909,158300,3,4129,2929,68.30186,86.14892,45
64050,2951,141300,5,4896,6735,46.64701,67.24798,61
64111,2969,265600,4,4732,2088,88.27552,75.71671,31
64131,2973,79900,2,4582,3281,75.25877,75.28386,40
66216,3020,340900,5,4801,421,93.16856,95.94128,26
66109,3021,307300,5,5717,2780,73.85986,82.12157,41
64111,3035,221800,3,4732,2088,88.27552,75.71671,31
64030,3048,151700,4,4452,1399,88.27552,84.55555,31
66215,3067,257900,4,3809,134,96.88225,98.68264,22
64138,3078,152100,4,4279,2341,85.71608,75.27759,33
64086,3084,324200,5,5339,3055,63.36491,89.76852,48
64030,3117,119000,3,4452,1399,88.27552,84.55555,31
64152,3117,392000,4,4257,4850,53.18989,80.39646,56
64083,3122,271200,5,5839,9405,30.93909,54.1434,79
64155,3133,179900,2,4853,5836,45.61194,77.70529,62
66215,3135,213900,3,3809,134,96.88225,98.68264,22
64138,3146,112600,3,4279,2341,85.71608,75.27759,33
64063,3180,229400,5,5780,2340,64.98965,96.02283,47
66203,3185,240300,5,5346,39,98.62618,99.79299,17
64152,3186,173600,3,4257,4850,53.18989,80.39646,56
64014,3191,133300,2,4908,2130,78.79681,84.68728,38
66223,3234,294800,2,4929,8958,24.11392,66.03726,90
66208,3237,214100,2,4766,1350,78.79681,94.64275,38
66210,3259,336000,5,5358,69,98.18079,99.49188,18
66102,3272,86700,4,4385,5256,60.17816,68.99818,51
64081,3277,213300,2,4862,1414,78.79681,93.82724,38
66209,3290,546000,5,5646,604,89.8438,95.69663,30
64052,3296,72800,2,5061,2925,82.43523,72.0532,36
66030,3296,281400,5,5696,826,90.9416,90.40838,29
64131,3318,190700,4,4582,3281,75.25877,75.28386,40
64050,3332,66500,2,4896,6735,46.64701,67.24798,61
66102,3351,75800,3,4385,5256,60.17816,68.99818,51
64131,3395,167400,3,4582,3281,75.25877,75.28386,40
66216,3416,161800,2,4801,421,93.16856,95.94128,26
64155,3499,271700,4,4853,5836,45.61194,77.70529,62
66204,3501,152800,2,5076,88,97.22728,99.91218,21
64086,3502,193100,2,5339,3055,63.36491,89.76852,48
64083,3550,128800,2,5839,9405,30.93909,54.1434,79
64134,3562,71100,2,5760,7086,68.30186,41.89198,45
